set_name	family	section_source	analyte	polarity	evidence	n_species	n_taxa	n_strains_total	median_n_tested
BacDive_Uses_N-acetyl-D-mannosamine	util	Uses	N-acetyl-D-mannosamine	pos	measured	13	13	13	1
BacDive_Uses_nitrate	util	Uses	nitrate	pos	measured	13	13	13	1
BacDive_Uses_thiosulfate_negative	util	Uses	thiosulfate	neg	measured	13	13	13	1
BacDive_Uses_tween_60_negative	util	Uses	tween 60	neg	measured	13	13	13	1
BacDive_Uses_xylose_fermentation	util	Uses	xylose	pos	measured	13	13	13	1
BacDive_Enzyme_pectin_negative	hydrolysis	Enzyme	pectin	neg	measured	12	12	12	1
BacDive_Murein_A1alpha_L-Lys-direct	murein	Murein	A1alpha L-Lys-direct	pos	measured	13	12	25	1
BacDive_Murein_A3alpha_L-Lys-Gly	murein	Murein	A3alpha L-Lys-Gly	pos	measured	13	12	21	1
BacDive_Prod_dinitrogen	production	Prod	dinitrogen	pos	measured	12	12	140	1
BacDive_Produces_siderophore	compound_class	Produces	siderophore	pos	measured	12	12	31	1
BacDive_Uses_2-hydroxybutyrate_respiration	util	Uses	2-hydroxybutyrate	pos	measured	12	12	12	1
BacDive_Uses_2-oxopentanoate_respiration_negative	util	Uses	2-oxopentanoate	neg	measured	12	12	12	1
BacDive_Uses_4-nitrophenyl_beta-D-galactopyranoside_negative	util	Uses	4-nitrophenyl beta-D-galactopyranoside	neg	measured	12	12	12	1
BacDive_Uses_acetoacetate_respiration	util	Uses	acetoacetate	pos	measured	12	12	12	1
BacDive_Uses_adenosine	util	Uses	adenosine	pos	measured	12	12	12	1
BacDive_Uses_aztreonam_negative	util	Uses	aztreonam	neg	measured	12	12	12	1
BacDive_Uses_carboxymethylcellulose_negative	util	Uses	carboxymethylcellulose	neg	measured	12	12	12	1
BacDive_Uses_D-glucosamine	util	Uses	D-glucosamine	pos	measured	12	12	12	1
BacDive_Uses_dextran_negative	util	Uses	dextran	neg	measured	12	12	12	1
BacDive_Uses_dna_negative	util	Uses	dna	neg	measured	12	12	12	1
BacDive_Uses_galactose_respiration_negative	util	Uses	galactose	neg	measured	12	12	12	1
BacDive_Uses_gamma-aminobutyric_acid_respiration	util	Uses	gamma-aminobutyric acid	pos	measured	12	12	12	1
BacDive_Uses_gentisate_negative	util	Uses	gentisate	neg	measured	12	12	12	1
BacDive_Uses_glycerol_respiration_negative	util	Uses	glycerol	neg	measured	12	12	12	1
BacDive_Uses_L-cysteine_Nsource	util	Uses	L-cysteine	pos	measured	12	12	12	1
BacDive_Uses_L-histidine_respiration	util	Uses	L-histidine	pos	measured	12	12	12	1
BacDive_Uses_L-malate_respiration	util	Uses	L-malate	pos	measured	12	12	12	1
BacDive_Uses_L-phenylalanine_Nsource_negative	util	Uses	L-phenylalanine	neg	measured	12	12	12	1
BacDive_Uses_lactulose_respiration_negative	util	Uses	lactulose	neg	measured	12	12	12	1
BacDive_Uses_methyl_alpha-D-mannoside	util	Uses	methyl alpha-D-mannoside	pos	measured	12	12	12	1
BacDive_Uses_methyl_beta-D-galactoside_negative	util	Uses	methyl beta-D-galactoside	neg	measured	12	12	12	1
BacDive_Uses_niaproof	util	Uses	niaproof	pos	measured	12	12	12	1
BacDive_Uses_quinate_respiration_negative	util	Uses	quinate	neg	measured	12	12	12	1
BacDive_Uses_sodium_bromate	util	Uses	sodium bromate	pos	measured	12	12	12	1
BacDive_Uses_succinate_respiration	util	Uses	succinate	pos	measured	12	12	12	1
BacDive_Uses_sucrose_gas_negative	util	Uses	sucrose	neg	measured	12	12	12	1
BacDive_Uses_sucrose_respiration_negative	util	Uses	sucrose	neg	measured	12	12	12	1
BacDive_Uses_trans-aconitate	util	Uses	trans-aconitate	pos	measured	12	12	12	1
BacDive_Uses_trehalose_respiration_negative	util	Uses	trehalose	neg	measured	12	12	12	1
BacDive_Uses_tween_40_respiration_negative	util	Uses	tween 40	neg	measured	12	12	12	1
BacDive_Uses_tween_80_respiration	util	Uses	tween 80	pos	measured	12	12	12	1
BacDive_Enzyme_4-nitrophenyl_beta-D-galactopyranoside_negative	enzyme|hydrolysis	Enzyme	4-nitrophenyl beta-D-galactopyranoside	neg	measured	11	11	11	1
BacDive_Enzyme_p-nitrophenyl_phenyl_phosphonate	hydrolysis	Enzyme	p-nitrophenyl phenyl phosphonate	pos	measured	11	11	11	1
BacDive_Enzyme_pyrazinamide	hydrolysis	Enzyme	pyrazinamide	pos	measured	11	11	12	1
BacDive_Enzyme_skimmed_milk_negative	hydrolysis	Enzyme	skimmed milk	neg	measured	11	11	11	1
BacDive_Enzyme_xanthine_hydrolysis	hydrolysis	Enzyme	xanthine hydrolysis	pos	measured	11	11	12	1
BacDive_Produces_antibiotic_(unspecified)	compound_class	Produces	antibiotic (unspecified)	pos	measured	11	11	26	1
BacDive_Produces_ethanol	compound_class	Produces	ethanol	pos	measured	11	11	13	1
BacDive_Produces_polyhydroxyalkanoate	compound_class	Produces	polyhydroxyalkanoate	pos	measured	11	11	14	1
BacDive_Uses_2,3-butanediol_respiration_negative	util	Uses	2, 3-butanediol	neg	measured	11	11	11	1
BacDive_Uses_alginate_negative	util	Uses	alginate	neg	measured	11	11	11	1
BacDive_Uses_citrate_respiration	util	Uses	citrate	pos	measured	11	11	11	1
BacDive_Uses_D-arabinose_fermentation_negative	util	Uses	D-arabinose	neg	measured	11	11	11	1
BacDive_Uses_D-galacturonic_acid_respiration	util	Uses	D-galacturonic acid	pos	measured	11	11	11	1
BacDive_Uses_D-glucosaminic_acid_respiration_negative	util	Uses	D-glucosaminic acid	neg	measured	11	11	11	1
BacDive_Uses_D-psicose_respiration_negative	util	Uses	D-psicose	neg	measured	11	11	11	1
BacDive_Uses_dextrin_respiration_negative	util	Uses	dextrin	neg	measured	11	11	11	1
BacDive_Uses_fructose_gas_negative	util	Uses	fructose	neg	measured	11	11	11	1
BacDive_Uses_gelatin_respiration_negative	util	Uses	gelatin	neg	measured	11	11	11	1
BacDive_Uses_gentisate	util	Uses	gentisate	pos	measured	11	11	11	1
BacDive_Uses_glucuronate_respiration	util	Uses	glucuronate	pos	measured	11	11	11	1
BacDive_Uses_glycogen_respiration_negative	util	Uses	glycogen	neg	measured	11	11	11	1
BacDive_Uses_hypoxanthine	util	Uses	hypoxanthine	pos	measured	11	11	11	1
BacDive_Uses_L-glutamine_negative	util	Uses	L-glutamine	neg	measured	11	11	11	1
BacDive_Uses_L-glutamine_Nsource_negative	util	Uses	L-glutamine	neg	measured	11	11	11	1
BacDive_Uses_L-leucine_Nsource	util	Uses	L-leucine	pos	measured	11	11	11	1
BacDive_Uses_L-lysine	util	Uses	L-lysine	pos	measured	11	11	11	1
BacDive_Uses_L-ornithine_respiration_negative	util	Uses	L-ornithine	neg	measured	11	11	11	1
BacDive_Uses_L-pyroglutamate	util	Uses	L-pyroglutamate	pos	measured	11	11	11	1
BacDive_Uses_maltose_hydrate	util	Uses	maltose hydrate	pos	measured	11	11	11	1
BacDive_Uses_mannose_respiration_negative	util	Uses	mannose	neg	measured	11	11	11	1
BacDive_Uses_methyl_alpha-D-galactoside_negative	util	Uses	methyl alpha-D-galactoside	neg	measured	11	11	11	1
BacDive_Uses_n-acetylneuraminate_respiration_negative	util	Uses	n-acetylneuraminate	neg	measured	11	11	11	1
BacDive_Uses_nitrate_gas	util	Uses	nitrate	pos	measured	12	11	51	1
BacDive_Uses_propanol_negative	util	Uses	propanol	neg	measured	11	11	11	1
BacDive_Uses_serine_negative	util	Uses	serine	neg	measured	11	11	11	1
BacDive_Uses_uridine_respiration_negative	util	Uses	uridine	neg	measured	11	11	11	1
BacDive_Uses_vancomycin	util	Uses	vancomycin	pos	measured	11	11	11	1
BacDive_Enzyme_4-nitrophenyl_beta-D-galactopyranoside	hydrolysis	Enzyme	4-nitrophenyl beta-D-galactopyranoside	pos	measured	10	10	10	1
BacDive_Enzyme_4-nitrophenyl_beta-D-glucopyranoside	hydrolysis	Enzyme	4-nitrophenyl beta-D-glucopyranoside	pos	measured	10	10	10	1
BacDive_Enzyme_guanine_negative	hydrolysis	Enzyme	guanine	neg	measured	10	10	10	1
BacDive_Enzyme_phosphoamidase	enzyme	Enzyme	phosphoamidase	pos	measured	10	10	10	1
BacDive_Enzyme_pyrazinamide_negative	hydrolysis	Enzyme	pyrazinamide	neg	measured	10	10	68	1
BacDive_Murein_A4alpha_L-Lys-L-Ala-L-Glu	murein	Murein	A4alpha L-Lys-L-Ala-L-Glu	pos	measured	10	10	31	1
BacDive_Murein_B2gamma_{Gly}_[L-Dab]_D-Glu-D-Dab	murein	Murein	B2gamma {Gly} [L-Dab] D-Glu-D-Dab	pos	measured	10	10	13	1
BacDive_Produces_vitamin_B12	compound_class	Produces	vitamin B12	pos	measured	10	10	31	2
BacDive_Uses_(R)-malic_acid_negative	util	Uses	(R)-malic acid	neg	measured	10	10	10	1
BacDive_Uses_(S)-malic_acid	util	Uses	(S)-malic acid	pos	measured	10	10	10	1
BacDive_Uses_2-oxobutanoate_respiration	util	Uses	2-oxobutanoate	pos	measured	10	10	11	1
BacDive_Uses_3-hydroxybutyrate_respiration_negative	util	Uses	3-hydroxybutyrate	neg	measured	10	10	10	1
BacDive_Uses_4-nitrophenyl_beta-D-galactopyranoside	util	Uses	4-nitrophenyl beta-D-galactopyranoside	pos	measured	10	10	11	1
BacDive_Uses_agar_negative	util	Uses	agar	neg	measured	10	10	10	1
BacDive_Uses_alpha-cyclodextrin_respiration	util	Uses	alpha-cyclodextrin	pos	measured	10	10	11	1
BacDive_Uses_alpha-hydroxybutyrate_negative	util	Uses	alpha-hydroxybutyrate	neg	measured	10	10	10	1
BacDive_Uses_azelaate	util	Uses	azelaate	pos	measured	10	10	10	1
BacDive_Uses_carboxymethylcellulose	util	Uses	carboxymethylcellulose	pos	measured	10	10	10	1
BacDive_Uses_D-alanine_respiration_negative	util	Uses	D-alanine	neg	measured	10	10	10	1
BacDive_Uses_D-fucose_respiration	util	Uses	D-fucose	pos	measured	10	10	10	1
BacDive_Uses_D-galactonic_acid_lactone_respiration_negative	util	Uses	D-galactonic acid lactone	neg	measured	10	10	10	1
BacDive_Uses_D-glucarate_respiration_negative	util	Uses	D-glucarate	neg	measured	10	10	10	1
BacDive_Uses_DL-carnitine_respiration_negative	util	Uses	DL-carnitine	neg	measured	10	10	10	1
BacDive_Uses_dna	util	Uses	dna	pos	measured	10	10	10	1
BacDive_Uses_elemental_sulfur	util	Uses	elemental sulfur	pos	measured	10	10	10	1
BacDive_Uses_erythritol_respiration_negative	util	Uses	erythritol	neg	measured	10	10	10	1
BacDive_Uses_glucose_1-phosphate_respiration_negative	util	Uses	glucose 1-phosphate	neg	measured	10	10	10	1
BacDive_Uses_glutamate_negative	util	Uses	glutamate	neg	measured	10	10	10	1
BacDive_Uses_glycerol_3-phosphate_negative	util	Uses	glycerol 3-phosphate	neg	measured	10	10	10	1
BacDive_Uses_glycerol_fermentation	util	Uses	glycerol	pos	measured	10	10	10	1
BacDive_Uses_glycyl-l-glutamate_respiration	util	Uses	glycyl-l-glutamate	pos	measured	10	10	11	1
BacDive_Uses_inosine_respiration	util	Uses	inosine	pos	measured	10	10	10	1
BacDive_Uses_L-alaninamide_respiration_negative	util	Uses	L-alaninamide	neg	measured	10	10	10	1
BacDive_Uses_L-alanylglycine_respiration	util	Uses	L-alanylglycine	pos	measured	10	10	10	1
BacDive_Uses_L-proline_Nsource_negative	util	Uses	L-proline	neg	measured	10	10	10	1
BacDive_Uses_L-threonine_respiration	util	Uses	L-threonine	pos	measured	10	10	10	1
BacDive_Uses_L-valine_Nsource_negative	util	Uses	L-valine	neg	measured	10	10	10	1
BacDive_Uses_L-xylose	util	Uses	L-xylose	pos	measured	10	10	10	1
BacDive_Uses_methionine_negative	util	Uses	methionine	neg	measured	10	10	10	1
BacDive_Uses_methyl_beta-D-xylopyranoside	util	Uses	methyl beta-D-xylopyranoside	pos	measured	10	10	10	1
BacDive_Uses_methyl_D-glucoside_acid	util	Uses	methyl D-glucoside	pos	measured	10	10	10	1
BacDive_Uses_niaproof_negative	util	Uses	niaproof	neg	measured	10	10	10	1
BacDive_Uses_pectin_respiration_negative	util	Uses	pectin	neg	measured	10	10	10	1
BacDive_Uses_peptone	util	Uses	peptone	pos	measured	10	10	10	1
BacDive_Uses_peptone_negative	util	Uses	peptone	neg	measured	10	10	10	1
BacDive_Uses_phenylethylamine	util	Uses	phenylethylamine	pos	measured	10	10	10	1
BacDive_Uses_phenylethylamine_respiration_negative	util	Uses	phenylethylamine	neg	measured	10	10	10	1
BacDive_Uses_Potassium_5-ketogluconate_negative	util	Uses	Potassium 5-ketogluconate	neg	measured	10	10	10	1
BacDive_Uses_pyruvate_fermentation	util	Uses	pyruvate	pos	measured	10	10	10	1
BacDive_Uses_salicin_fermentation	util	Uses	salicin	pos	measured	10	10	10	1
BacDive_Uses_salicin_fermentation_negative	util	Uses	salicin	neg	measured	10	10	10	1
BacDive_Uses_sarcosine_negative	util	Uses	sarcosine	neg	measured	10	10	10	1
BacDive_Uses_skimmed_milk	util	Uses	skimmed milk	pos	measured	10	10	10	1
BacDive_Uses_sodium_butyrate	util	Uses	sodium butyrate	pos	measured	10	10	10	1
BacDive_Uses_sodium_malonate	util	Uses	sodium malonate	pos	measured	10	10	10	1
BacDive_Uses_xylitol_respiration_negative	util	Uses	xylitol	neg	measured	10	10	10	1
BacDive_Enzyme_arginine_decarboxylase_negative	enzyme	Enzyme	arginine decarboxylase	neg	measured	9	9	9	1
BacDive_Enzyme_beta-N-acetylgalactosaminidase_negative	enzyme	Enzyme	beta-N-acetylgalactosaminidase	neg	measured	9	9	9	1
BacDive_Enzyme_elastin_negative	hydrolysis	Enzyme	elastin	neg	measured	9	9	9	1
BacDive_Enzyme_gamma-L-glutamate-4-nitroanilide_negative	hydrolysis	Enzyme	gamma-L-glutamate-4-nitroanilide	neg	measured	9	9	9	1
BacDive_Enzyme_L-proline-4-nitroanilide	hydrolysis	Enzyme	L-proline-4-nitroanilide	pos	measured	9	9	9	1
BacDive_Enzyme_O-nitrophenyl-beta-D-galactopyranosid	hydrolysis	Enzyme	O-nitrophenyl-beta-D-galactopyranosid	pos	measured	9	9	9	1
BacDive_Murein_A4alpha_L-Lys-Gly-D-Asp	murein	Murein	A4alpha L-Lys-Gly-D-Asp	pos	measured	9	9	9	1
BacDive_Uses_(S)-lactate_respiration	util	Uses	(S)-lactate	pos	measured	9	9	9	1
BacDive_Uses_(S)-malic_acid_negative	util	Uses	(S)-malic acid	neg	measured	9	9	9	1
BacDive_Uses_2-oxogluconate	util	Uses	2-oxogluconate	pos	measured	9	9	9	1
BacDive_Uses_3-O-methyl-D-glucose_respiration_negative	util	Uses	3-O-methyl-D-glucose	neg	measured	9	9	9	1
BacDive_Uses_4-hydroxybutyrate_respiration_negative	util	Uses	4-hydroxybutyrate	neg	measured	9	9	9	1
BacDive_Uses_acetate_respiration_negative	util	Uses	acetate	neg	measured	9	9	9	1
BacDive_Uses_alpha-cyclodextrin_respiration_negative	util	Uses	alpha-cyclodextrin	neg	measured	9	9	9	1
BacDive_Uses_chitin	util	Uses	chitin	pos	measured	9	9	9	1
BacDive_Uses_cis-aconitate_respiration_negative	util	Uses	cis-aconitate	neg	measured	9	9	9	1
BacDive_Uses_cysteine_negative	util	Uses	cysteine	neg	measured	9	9	9	1
BacDive_Uses_D-aspartate_respiration_negative	util	Uses	D-aspartate	neg	measured	9	9	9	1
BacDive_Uses_D-malate_respiration_negative	util	Uses	D-malate	neg	measured	9	9	9	1
BacDive_Uses_D-sorbose_acid_negative	util	Uses	D-sorbose	neg	measured	9	9	9	1
BacDive_Uses_galactarate_respiration_negative	util	Uses	galactarate	neg	measured	9	9	9	1
BacDive_Uses_galactose_gas_negative	util	Uses	galactose	neg	measured	9	9	9	1
BacDive_Uses_glutamate_Nsource	util	Uses	glutamate	pos	measured	9	9	9	1
BacDive_Uses_glycyl_L-aspartic_acid_respiration_negative	util	Uses	glycyl L-aspartic acid	neg	measured	9	9	9	1
BacDive_Uses_inulin_fermentation_negative	util	Uses	inulin	neg	measured	9	9	9	1
BacDive_Uses_L-alaninamide_respiration	util	Uses	L-alaninamide	pos	measured	9	9	9	1
BacDive_Uses_L-asparagine_Nsource_negative	util	Uses	L-asparagine	neg	measured	9	9	9	1
BacDive_Uses_L-galactonic_acid_gamma-lactone_respiration_negative	util	Uses	L-galactonic acid gamma-lactone	neg	measured	9	9	9	1
BacDive_Uses_L-isoleucine	util	Uses	L-isoleucine	pos	measured	9	9	9	1
BacDive_Uses_L-isoleucine_Nsource	util	Uses	L-isoleucine	pos	measured	9	9	9	1
BacDive_Uses_maltose_respiration_negative	util	Uses	maltose	neg	measured	9	9	9	1
BacDive_Uses_mannose_gas_negative	util	Uses	mannose	neg	measured	9	9	9	1
BacDive_Uses_methionine	util	Uses	methionine	pos	measured	9	9	9	1
BacDive_Uses_minocycline_negative	util	Uses	minocycline	neg	measured	9	9	9	1
BacDive_Uses_palatinose	util	Uses	palatinose	pos	measured	9	9	9	1
BacDive_Uses_ribitol_fermentation_negative	util	Uses	ribitol	neg	measured	9	9	9	1
BacDive_Uses_sodium_propionate_negative	util	Uses	sodium propionate	neg	measured	9	9	9	1
BacDive_Uses_succinamate_respiration_negative	util	Uses	succinamate	neg	measured	9	9	9	1
BacDive_Uses_sulfate_negative	util	Uses	sulfate	neg	measured	9	9	9	1
BacDive_Uses_trehalose_gas_negative	util	Uses	trehalose	neg	measured	9	9	9	1
BacDive_Uses_uridine_respiration	util	Uses	uridine	pos	measured	9	9	9	1
BacDive_Uses_xanthine	util	Uses	xanthine	pos	measured	9	9	9	1
BacDive_Enzyme_arbutin_negative	hydrolysis	Enzyme	arbutin	neg	measured	8	8	8	1
BacDive_Enzyme_beta-D-fucosidase	enzyme	Enzyme	beta-D-fucosidase	pos	measured	8	8	8	1
BacDive_Enzyme_bis-4-nitrophenyl-phosphorylcholine_negative	hydrolysis	Enzyme	bis-4-nitrophenyl-phosphorylcholine	neg	measured	8	8	8	1
BacDive_Enzyme_lecithin	hydrolysis	Enzyme	lecithin	pos	measured	8	8	8	1
BacDive_Murein_A3alpha_L-Lys-L-Ala	murein	Murein	A3alpha L-Lys-L-Ala	pos	measured	8	8	21	2
BacDive_Murein_A3alpha_L-Lys-L-Ala-L-Thr-L-Ala	murein	Murein	A3alpha L-Lys-L-Ala-L-Thr-L-Ala	pos	measured	8	8	27	1
BacDive_Murein_A3alpha_L-Lys-L-Ser-L-Ala2	murein	Murein	A3alpha L-Lys-L-Ser-L-Ala2	pos	measured	8	8	9	1
BacDive_Murein_A4beta_L-Orn-D-Asp	murein	Murein	A4beta L-Orn-D-Asp	pos	measured	8	8	12	1
BacDive_Murein_A4beta_L-Orn-D-Glu	murein	Murein	A4beta L-Orn-D-Glu	pos	measured	8	8	8	1
BacDive_Produces_carotenoid	compound_class	Produces	carotenoid	pos	measured	8	8	10	1
BacDive_Produces_pigment	compound_class	Produces	pigment	pos	measured	8	8	23	1
BacDive_Uses_2-oxogluconate_acid_negative	util	Uses	2-oxogluconate	neg	measured	8	8	8	1
BacDive_Uses_2,3-butanediol_respiration	util	Uses	2, 3-butanediol	pos	measured	8	8	8	1
BacDive_Uses_4-hydroxy-L-proline_respiration_negative	util	Uses	4-hydroxy-L-proline	neg	measured	8	8	8	1
BacDive_Uses_adenine	util	Uses	adenine	pos	measured	8	8	8	1
BacDive_Uses_alanine_Nsource	util	Uses	alanine	pos	measured	8	8	8	1
BacDive_Uses_butanol	util	Uses	butanol	pos	measured	8	8	8	1
BacDive_Uses_casamino_acids_negative	util	Uses	casamino acids	neg	measured	8	8	8	1
BacDive_Uses_D-alanine_respiration	util	Uses	D-alanine	pos	measured	8	8	8	1
BacDive_Uses_D-arabitol_fermentation_negative	util	Uses	D-arabitol	neg	measured	8	8	8	1
BacDive_Uses_D-fucose_respiration_negative	util	Uses	D-fucose	neg	measured	8	8	8	1
BacDive_Uses_D-lactic_acid_methyl_ester_negative	util	Uses	D-lactic acid methyl ester	neg	measured	8	8	8	1
BacDive_Uses_D-psicose_respiration	util	Uses	D-psicose	pos	measured	8	8	8	1
BacDive_Uses_dihydrogen_negative	util	Uses	dihydrogen	neg	measured	8	8	8	1
BacDive_Uses_erythritol_fermentation_negative	util	Uses	erythritol	neg	measured	8	8	8	1
BacDive_Uses_fructose_respiration_negative	util	Uses	fructose	neg	measured	8	8	8	1
BacDive_Uses_galactitol_fermentation_negative	util	Uses	galactitol	neg	measured	8	8	8	1
BacDive_Uses_galactose_fermentation_negative	util	Uses	galactose	neg	measured	8	8	8	1
BacDive_Uses_glucuronamide_respiration	util	Uses	glucuronamide	pos	measured	8	8	8	1
BacDive_Uses_glycogen_respiration	util	Uses	glycogen	pos	measured	8	8	9	1
BacDive_Uses_glycyl_L-aspartic_acid_respiration	util	Uses	glycyl L-aspartic acid	pos	measured	8	8	8	1
BacDive_Uses_guanidinium_chloride_negative	util	Uses	guanidinium chloride	neg	measured	8	8	8	1
BacDive_Uses_hippurate	util	Uses	hippurate	pos	measured	8	8	8	1
BacDive_Uses_histidine_negative	util	Uses	histidine	neg	measured	8	8	8	1
BacDive_Uses_hydroxyproline	util	Uses	hydroxyproline	pos	measured	8	8	8	1
BacDive_Uses_inulin_fermentation	util	Uses	inulin	pos	measured	8	8	8	1
BacDive_Uses_isocitrate	util	Uses	isocitrate	pos	measured	8	8	8	1
BacDive_Uses_L-alanine_4-nitroanilide_negative	util	Uses	L-alanine 4-nitroanilide	neg	measured	8	8	8	1
BacDive_Uses_L-arabitol_fermentation_negative	util	Uses	L-arabitol	neg	measured	8	8	8	1
BacDive_Uses_L-asparagine_respiration_negative	util	Uses	L-asparagine	neg	measured	8	8	8	1
BacDive_Uses_L-citrulline_negative	util	Uses	L-citrulline	neg	measured	8	8	8	1
BacDive_Uses_L-glutamate_respiration_negative	util	Uses	L-glutamate	neg	measured	8	8	8	1
BacDive_Uses_L-lysine_Nsource_negative	util	Uses	L-lysine	neg	measured	8	8	8	1
BacDive_Uses_L-tartrate	util	Uses	L-tartrate	pos	measured	8	8	8	1
BacDive_Uses_lactate_fermentation_negative	util	Uses	lactate	neg	measured	8	8	8	1
BacDive_Uses_lactose_respiration	util	Uses	lactose	pos	measured	8	8	9	1
BacDive_Uses_malonate_respiration_negative	util	Uses	malonate	neg	measured	8	8	8	1
BacDive_Uses_maltotriose_negative	util	Uses	maltotriose	neg	measured	8	8	8	1
BacDive_Uses_meso-tartrate_negative	util	Uses	meso-tartrate	neg	measured	8	8	8	1
BacDive_Uses_methyl_(R)-lactate_respiration_negative	util	Uses	methyl (R)-lactate	neg	measured	8	8	8	1
BacDive_Uses_methyl_beta-D-glucopyranoside_respiration_negative	util	Uses	methyl beta-D-glucopyranoside	neg	measured	8	8	8	1
BacDive_Uses_nitrite_negative	util	Uses	nitrite	neg	measured	8	8	8	1
BacDive_Uses_propanol	util	Uses	propanol	pos	measured	8	8	8	1
BacDive_Uses_putrescine_respiration_negative	util	Uses	putrescine	neg	measured	8	8	8	1
BacDive_Uses_ribitol_respiration_negative	util	Uses	ribitol	neg	measured	8	8	8	1
BacDive_Uses_ribose_gas_negative	util	Uses	ribose	neg	measured	8	8	8	1
BacDive_Uses_starch_fermentation_negative	util	Uses	starch	neg	measured	8	8	8	1
BacDive_Uses_sulfite	util	Uses	sulfite	pos	measured	8	8	8	1
BacDive_Uses_sulfite_negative	util	Uses	sulfite	neg	measured	8	8	8	1
BacDive_Uses_thymidine_respiration_negative	util	Uses	thymidine	neg	measured	8	8	8	1
BacDive_Uses_urea_fermentation_negative	util	Uses	urea	neg	measured	8	8	8	1
BacDive_Enzyme_2-nitrophenyl_beta-D-galactopyranoside	enzyme	Enzyme	2-nitrophenyl beta-D-galactopyranoside	pos	measured	7	7	7	1
BacDive_Enzyme_allantoin	hydrolysis	Enzyme	allantoin	pos	measured	7	7	7	1
BacDive_Enzyme_L-arginine_negative	hydrolysis	Enzyme	L-arginine	neg	measured	7	7	7	1
BacDive_Enzyme_milk	hydrolysis	Enzyme	milk	pos	measured	7	7	7	1
BacDive_Murein_A3alpha_L-Lys-L-Ser-L-Thr-L-Ala	murein	Murein	A3alpha L-Lys-L-Ser-L-Thr-L-Ala	pos	measured	7	7	29	1
BacDive_Murein_A5alpha_L-Lys-L-Lys-D-Glu	murein	Murein	A5alpha L-Lys-L-Lys-D-Glu	pos	measured	7	7	9	1
BacDive_Murein_B2beta_{Gly}_[L-Hsr]_D-Glu-D-Orn	murein	Murein	B2beta {Gly} [L-Hsr] D-Glu-D-Orn	pos	measured	7	7	11	1
BacDive_Prod_isobutyrate	production	Prod	isobutyrate	pos	measured	7	7	7	1
BacDive_Prod_n-butanol	production	Prod	n-butanol	pos	measured	7	7	74	1
BacDive_Prod_streptomycin	production	Prod	streptomycin	pos	measured	7	7	9	1
BacDive_Uses_1_%_sodium_lactate_negative	util	Uses	1 % sodium lactate	neg	measured	7	7	7	1
BacDive_Uses_2-deoxyadenosine	util	Uses	2-deoxyadenosine	pos	measured	7	7	7	1
BacDive_Uses_2-oxogluconate_negative	util	Uses	2-oxogluconate	neg	measured	7	7	7	1
BacDive_Uses_3-O-methyl_alpha-D-glucopyranoside_acid_negative	util	Uses	3-O-methyl alpha-D-glucopyranoside	neg	measured	7	7	7	1
BacDive_Uses_acetamide	util	Uses	acetamide	pos	measured	7	7	7	1
BacDive_Uses_aztreonam_respiration	util	Uses	aztreonam	pos	measured	7	7	7	1
BacDive_Uses_casamino_acids_Nsource	util	Uses	casamino acids	pos	measured	7	7	7	1
BacDive_Uses_creatine_negative	util	Uses	creatine	neg	measured	7	7	7	1
BacDive_Uses_creatine_Nsource_negative	util	Uses	creatine	neg	measured	7	7	7	1
BacDive_Uses_D-fructose_6-phosphate_respiration	util	Uses	D-fructose 6-phosphate	pos	measured	7	7	7	1
BacDive_Uses_dextrin_acid	util	Uses	dextrin	pos	measured	7	7	7	1
BacDive_Uses_fucose_acid_negative	util	Uses	fucose	neg	measured	7	7	7	1
BacDive_Uses_gamma-cyclodextrin	util	Uses	gamma-cyclodextrin	pos	measured	7	7	7	1
BacDive_Uses_gelatin_fermentation_negative	util	Uses	gelatin	neg	measured	7	7	7	1
BacDive_Uses_glucose_respiration_negative	util	Uses	glucose	neg	measured	7	7	7	1
BacDive_Uses_glycerate	util	Uses	glycerate	pos	measured	7	7	7	1
BacDive_Uses_hydroxyproline_Nsource_negative	util	Uses	hydroxyproline	neg	measured	7	7	7	1
BacDive_Uses_L-arabinose_respiration_negative	util	Uses	L-arabinose	neg	measured	7	7	7	1
BacDive_Uses_L-arginine_fermentation_negative	util	Uses	L-arginine	neg	measured	7	7	7	1
BacDive_Uses_L-arginine_respiration	util	Uses	L-arginine	pos	measured	7	7	7	1
BacDive_Uses_L-fucose_fermentation_negative	util	Uses	L-fucose	neg	measured	7	7	7	1
BacDive_Uses_L-isoleucine_negative	util	Uses	L-isoleucine	neg	measured	7	7	7	1
BacDive_Uses_L-lactate_negative	util	Uses	L-lactate	neg	measured	7	7	7	1
BacDive_Uses_L-leucine_respiration_negative	util	Uses	L-leucine	neg	measured	7	7	7	1
BacDive_Uses_L-proline-4-nitroanilide	util	Uses	L-proline-4-nitroanilide	pos	measured	7	7	7	1
BacDive_Uses_L-threonine_respiration_negative	util	Uses	L-threonine	neg	measured	7	7	7	1
BacDive_Uses_L-tryptophan_Nsource	util	Uses	L-tryptophan	pos	measured	7	7	7	1
BacDive_Uses_lactate_respiration_negative	util	Uses	lactate	neg	measured	7	7	7	1
BacDive_Uses_lactulose_respiration	util	Uses	lactulose	pos	measured	7	7	8	1
BacDive_Uses_lincomycin_respiration	util	Uses	lincomycin	pos	measured	7	7	7	1
